trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
0,0,1,106,106,True,False,
1,0,1,118,118,True,False,
2,0,1,73,73,True,False,
3,0,1,110,110,False,False,
3,0,2,110,110,True,False,
4,0,1,77,77,True,False,
5,0,1,1,1,True,False,
6,0,1,15,15,False,False,
6,0,2,15,15,False,False,
6,0,3,27,27,True,False,
7,0,1,74,74,False,False,
7,0,2,65,65,False,False,
7,0,3,76,74,True,True,74
8,0,1,51,51,True,False,
9,0,1,106,106,True,False,
10,1,1,49,49,False,False,
10,1,2,49,49,False,False,
10,1,3,49,49,False,False,
10,1,4,49,49,False,False,
10,1,5,49,49,False,False,
10,1,6,49,49,False,False,
10,1,7,49,49,False,False,
10,1,8,49,49,False,False,
10,1,9,49,49,False,False,
10,1,10,49,49,False,False,
10,1,11,49,49,False,False,
10,1,12,49,49,False,False,
10,1,13,49,49,False,False,
10,1,14,49,49,False,False,
10,1,15,29,37,True,True,37
11,1,1,146,146,False,False,
11,1,2,146,146,True,False,
12,1,1,116,116,True,False,
13,1,1,3,3,True,False,
14,1,1,22,22,False,False,7
14,1,2,22,22,False,False,
14,1,3,22,22,True,False,
15,1,1,40,41,True,True,42 41
16,1,1,125,125,True,False,
17,1,1,142,142,False,False,
17,1,2,115,115,True,False,
18,1,1,108,108,True,False,
19,1,1,67,67,True,False,
20,2,1,81,81,False,False,
20,2,2,69,69,False,False,
20,2,3,84,81,True,True,81
21,2,1,123,123,True,False,
22,2,1,103,103,True,False,
23,2,1,90,90,False,False,
23,2,2,96,96,True,False,89
24,2,1,51,51,False,False,
24,2,2,67,67,True,False,
25,2,1,134,134,True,False,
26,2,1,146,146,True,False,
27,2,1,125,125,True,False,
28,2,1,99,99,True,False,
29,2,1,44,44,True,False,
30,3,1,97,97,True,False,
31,3,1,132,132,False,False,
31,3,2,142,142,True,False,
32,3,1,147,146,True,True,146
33,3,1,38,38,True,False,70 63
34,3,1,63,63,True,False,
35,3,1,41,41,False,False,
35,3,2,40,40,True,False,
36,3,1,58,58,True,False,
37,3,1,125,125,True,False,
38,3,1,4,5,True,True,16 5
39,3,1,0,0,True,False,1
40,4,1,108,108,False,False,96
40,4,2,108,108,False,False,
40,4,3,108,108,False,False,
40,4,4,108,108,True,False,
41,4,1,79,79,False,False,
41,4,2,79,79,True,False,
42,4,1,2,2,True,False,
43,4,1,79,79,False,False,
43,4,2,79,79,True,False,
44,4,1,73,73,True,False,
45,4,1,14,14,False,False,26 20
45,4,2,14,14,False,False,
45,4,3,25,25,False,False,
45,4,4,25,25,True,False,
46,4,1,96,96,False,False,
46,4,2,117,117,False,False,100
46,4,3,117,117,False,False,
46,4,4,89,89,True,False,100
47,4,1,123,123,True,False,
48,4,1,61,69,True,True,69
49,4,1,41,41,False,False,
49,4,2,41,41,False,False,
49,4,3,40,40,True,False,
50,5,1,67,67,True,False,
51,5,1,140,112,True,True,112 113 114 137
52,5,1,107,107,False,False,
52,5,2,115,115,False,False,
52,5,3,115,115,True,False,
53,5,1,145,145,False,False,
53,5,2,138,138,True,False,
54,5,1,49,49,False,False,56
54,5,2,49,49,False,False,
54,5,3,57,54,True,True,54
55,5,1,121,121,True,False,
56,5,1,41,41,True,False,
57,5,1,71,71,True,False,
58,5,1,102,102,True,False,
59,5,1,71,71,True,False,74
60,6,1,49,49,False,False,
60,6,2,37,37,True,False,
61,6,1,135,135,False,False,
61,6,2,135,135,False,False,
61,6,3,135,135,True,False,
62,6,1,132,132,True,False,
63,6,1,35,35,False,False,
63,6,2,52,46,True,True,46
64,6,1,109,109,False,False,97
64,6,2,109,109,False,False,
64,6,3,109,109,True,False,
