trip_id,vehicle_id,attempt_number,draw_number,parking_index,success,is_planned_cell
0,0,1,1,106,True,True
1,0,1,1,118,True,True
2,0,1,1,73,True,True
3,0,1,1,110,False,True
3,0,2,1,110,True,True
4,0,1,1,77,True,True
5,0,1,1,1,True,True
6,0,1,1,15,False,True
6,0,2,1,15,False,True
6,0,3,1,27,True,True
7,0,1,1,74,False,True
7,0,2,1,65,False,True
7,0,3,1,74,True,False
8,0,1,1,51,True,True
9,0,1,1,106,True,True
10,1,1,1,49,False,True
10,1,2,1,49,False,True
10,1,3,1,49,False,True
10,1,4,1,49,False,True
10,1,5,1,49,False,True
10,1,6,1,49,False,True
10,1,7,1,49,False,True
10,1,8,1,49,False,True
10,1,9,1,49,False,True
10,1,10,1,49,False,True
10,1,11,1,49,False,True
10,1,12,1,49,False,True
10,1,13,1,49,False,True
10,1,14,1,49,False,True
10,1,15,1,37,True,False
11,1,1,1,146,False,True
11,1,2,1,146,True,True
12,1,1,1,116,True,True
13,1,1,1,3,True,True
14,1,1,1,7,False,False
14,1,1,2,22,False,True
14,1,2,1,22,False,True
14,1,3,1,22,True,True
15,1,1,1,42,False,False
15,1,1,2,41,True,False
16,1,1,1,125,True,True
17,1,1,1,142,False,True
17,1,2,1,115,True,True
18,1,1,1,108,True,True
19,1,1,1,67,True,True
20,2,1,1,81,False,True
20,2,2,1,69,False,True
20,2,3,1,81,True,False
21,2,1,1,123,True,True
22,2,1,1,103,True,True
23,2,1,1,90,False,True
23,2,2,1,89,False,False
23,2,2,2,96,True,True
24,2,1,1,51,False,True
24,2,2,1,67,True,True
25,2,1,1,134,True,True
26,2,1,1,146,True,True
27,2,1,1,125,True,True
28,2,1,1,99,True,True
29,2,1,1,44,True,True
30,3,1,1,97,True,True
31,3,1,1,132,False,True
31,3,2,1,142,True,True
32,3,1,1,146,True,False
33,3,1,1,70,False,False
33,3,1,2,63,False,False
33,3,1,3,38,True,True
34,3,1,1,63,True,True
35,3,1,1,41,False,True
35,3,2,1,40,True,True
36,3,1,1,58,True,True
37,3,1,1,125,True,True
38,3,1,1,16,False,False
38,3,1,2,5,True,False
39,3,1,1,1,False,False
39,3,1,2,0,True,True
40,4,1,1,96,False,False
40,4,1,2,108,False,True
40,4,2,1,108,False,True
40,4,3,1,108,False,True
40,4,4,1,108,True,True
41,4,1,1,79,False,True
41,4,2,1,79,True,True
42,4,1,1,2,True,True
43,4,1,1,79,False,True
43,4,2,1,79,True,True
44,4,1,1,73,True,True
45,4,1,1,26,False,False
45,4,1,2,20,False,False
45,4,1,3,14,False,True
45,4,2,1,14,False,True
45,4,3,1,25,False,True
45,4,4,1,25,True,True
46,4,1,1,96,False,True
46,4,2,1,100,False,False
46,4,2,2,117,False,True
46,4,3,1,117,False,True
46,4,4,1,100,False,False
46,4,4,2,89,True,True
47,4,1,1,123,True,True
48,4,1,1,69,True,False
49,4,1,1,41,False,True
49,4,2,1,41,False,True
49,4,3,1,40,True,True
50,5,1,1,67,True,True
51,5,1,1,112,True,False
52,5,1,1,107,False,True
52,5,2,1,115,False,True
52,5,3,1,115,True,True
53,5,1,1,145,False,True
53,5,2,1,138,True,True
54,5,1,1,56,False,False
54,5,1,2,49,False,True
