destination_index,row,col,demand_probability,demand_weight
0,0,0,0.0006593213176128683,0.25
1,0,1,0.0006916044949483844,0.2622410638307586
2,0,4,0.000798251742609817,0.3026793314904327
3,0,5,0.0008373375447470213,0.31749979955853563
4,0,6,0.0008783371540795773,0.3330459408091321
5,0,7,0.0009213442787516373,0.34935328728921067
6,0,8,0.0009664572152568494,0.366459110845981
7,0,9,0.0010137790731034747,0.3844025083148958
8,0,10,0.0010634180104800626,0.40322449087884127
9,0,12,0.0011701064953121936,0.44367839475775955
10,0,14,0.001287498610027965,0.48819087735911093
11,0,15,0.001287498610027965,0.48819087735911093
12,0,16,0.0012273998885038008,0.4654027769599926
13,0,17,0.0011701064953121936,0.44367839475775955
14,0,18,0.0011154874814603218,0.42296807780273343
15,0,19,0.0010634180104800626,0.40322449087884127
16,0,22,0.0009213442787516373,0.34935328728921067
17,0,23,0.0008783371540795773,0.3330459408091321
18,0,24,0.0008373375447470213,0.31749979955853563
19,0,25,0.000798251742609817,0.3026793314904327
20,0,26,0.0007609904136952606,0.2885506631464967
21,0,27,0.0007254683940215955,0.2750815022363521
22,0,28,0.0006916044949483844,0.2622410638307586
23,0,29,0.0006593213176128683,0.25
24,1,0,0.0006916044949483844,0.2622410638307586
25,1,1,0.0007254683940215955,0.2750815022363521
26,1,3,0.000798251742609817,0.3026793314904327
27,1,4,0.0008373375447470213,0.31749979955853563
28,1,5,0.0008783371540795773,0.3330459408091321
29,1,6,0.0009213442787516373,0.34935328728921067
30,1,7,0.0009664572152568494,0.366459110845981
31,1,8,0.0010137790731034747,0.3844025083148958
32,1,9,0.0010634180104800626,0.40322449087884127
33,1,10,0.0011154874814603218,0.42296807780273343
34,1,11,0.0011701064953121936,0.44367839475775955
35,1,12,0.0012273998885038008,0.4654027769599926
36,1,13,0.001287498610027965,0.48819087735911093
37,1,14,0.0013505400206974265,0.5120947801244987
38,1,15,0.0013505400206974265,0.5120947801244987
39,1,16,0.001287498610027965,0.48819087735911093
40,1,17,0.0012273998885038008,0.4654027769599926
41,1,19,0.0011154874814603218,0.42296807780273343
42,1,20,0.0010634180104800626,0.40322449087884127
43,1,21,0.0010137790731034747,0.3844025083148958
44,1,22,0.0009664572152568494,0.366459110845981
45,1,24,0.0008783371540795773,0.3330459408091321
46,1,25,0.0008373375447470213,0.31749979955853563
47,1,26,0.000798251742609817,0.3026793314904327
48,1,27,0.0007609904136952606,0.2885506631464967
49,1,28,0.0007254683940215955,0.2750815022363521
50,2,0,0.0007254683940215955,0.2750815022363521
51,2,1,0.0007609904136952606,0.2885506631464967
52,2,3,0.0008373375447470213,0.31749979955853563
53,2,4,0.0008783371540795773,0.3330459408091321
54,2,5,0.0009213442787516373,0.34935328728921067
55,2,6,0.0009664572152568494,0.366459110845981
56,2,7,0.0010137790731034747,0.3844025083148958
57,2,8,0.0010634180104800626,0.40322449087884127
58,2,10,0.0011701064953121936,0.44367839475775955
59,2,11,0.0012273998885038008,0.4654027769599926
60,2,12,0.001287498610027965,0.48819087735911093
61,2,13,0.0013505400206974265,0.5120947801244987
62,2,14,0.0014166682070948311,0.5371691196881078
63,2,15,0.0014166682070948311,0.5371691196881078
64,2,16,0.0013505400206974265,0.5120947801244987
65,2,17,0.001287498610027965,0.48819087735911093
66,2,18,0.0012273998885038008,0.4654027769599926
67,2,19,0.0011701064953121936,0.44367839475775955
68,2,20,0.0011154874814603218,0.42296807780273343
69,2,21,0.0010634180104800626,0.40322449087884127
70,2,22,0.0010137790731034747,0.3844025083148958
71,2,23,0.0009664572152568494,0.366459110845981
72,2,24,0.0009213442787516373,0.34935328728921067
73,2,25,0.0008783371540795773,0.3330459408091321
74,2,26,0.0008373375447470213,0.31749979955853563
75,2,27,0.000798251742609817,0.3026793314904327
76,2,29,0.0007254683940215955,0.2750815022363521
77,3,0,0.0007609904136952606,0.2885506631464967
78,3,1,0.000798251742609817,0.3026793314904327
79,3,3,0.0008783371540795773,0.3330459408091321
80,3,4,0.0009213442787516373,0.34935328728921067
81,3,5,0.0009664572152568494,0.366459110845981
82,3,7,0.0010634180104800626,0.40322449087884127
83,3,8,0.0011154874814603218,0.42296807780273343
84,3,9,0.0011701064953121936,0.44367839475775955
85,3,10,0.0012273998885038008,0.4654027769599926
86,3,11,0.001287498610027965,0.48819087735911093
87,3,12,0.0013505400206974265,0.5120947801244987
88,3,13,0.0014166682070948311,0.5371691196881078
89,3,14,0.0014860343108950482,0.563471205616166
90,3,15,0.0014860343108950482,0.563471205616166
