estimator,parking_index,theta_hat,successes,exposure
trace_exposure,0,0.8,11.0,13.0
trace_exposure,1,0.4827586206896552,13.0,27.0
trace_exposure,2,0.7205882352941176,48.0,66.0
trace_exposure,3,0.5079365079365079,31.0,61.0
trace_exposure,4,0.46296296296296297,24.0,52.0
trace_exposure,5,0.6666666666666666,25.0,37.0
trace_exposure,6,0.425,16.0,38.0
trace_exposure,7,0.2616822429906542,27.0,105.0
trace_exposure,8,0.4339622641509434,22.0,51.0
trace_exposure,9,0.625,9.0,14.0
trace_exposure,10,0.5254237288135594,30.0,57.0
trace_exposure,11,0.5915492957746479,41.0,69.0
trace_exposure,12,0.6388888888888888,22.0,34.0
trace_exposure,13,0.2876712328767123,20.0,71.0
trace_exposure,14,0.3225806451612903,29.0,91.0
trace_exposure,15,0.3167701863354037,50.0,159.0
trace_exposure,16,0.2540983606557377,30.0,120.0
trace_exposure,17,0.3333333333333333,23.0,70.0
trace_exposure,18,0.4,21.0,53.0
trace_exposure,19,0.28,6.0,23.0
trace_exposure,20,0.2978723404255319,27.0,92.0
trace_exposure,21,0.0967741935483871,8.0,91.0
trace_exposure,22,0.4358974358974359,33.0,76.0
trace_exposure,23,0.7222222222222222,12.0,16.0
trace_exposure,24,0.13432835820895522,8.0,65.0
trace_exposure,25,0.17543859649122806,19.0,112.0
trace_exposure,26,0.26277372262773724,35.0,135.0
trace_exposure,27,0.33557046979865773,49.0,147.0
trace_exposure,28,0.2882882882882883,31.0,109.0
trace_exposure,29,0.30434782608695654,20.0,67.0
trace_exposure,30,0.2524271844660194,25.0,101.0
trace_exposure,31,0.22962962962962963,30.0,133.0
trace_exposure,32,0.24242424242424243,39.0,163.0
trace_exposure,33,0.1783783783783784,32.0,183.0
trace_exposure,34,0.2023121387283237,34.0,171.0
trace_exposure,35,0.08695652173913043,11.0,136.0
trace_exposure,36,0.36363636363636365,23.0,64.0
trace_exposure,37,0.26436781609195403,22.0,85.0
trace_exposure,38,0.3793103448275862,43.0,114.0
trace_exposure,39,0.23404255319148937,43.0,186.0
trace_exposure,40,0.21287128712871287,42.0,200.0
trace_exposure,41,0.23293172690763053,57.0,247.0
trace_exposure,42,0.09183673469387756,17.0,194.0
trace_exposure,43,0.19090909090909092,20.0,108.0
trace_exposure,44,0.2737430167597765,48.0,177.0
