trip_id,vehicle_id,m,x,y,t
0,0,0,8.0,27.0,0
0,0,1,9.0,27.0,1
0,0,2,10.0,27.0,2
0,0,3,10.0,26.0,3
0,0,4,11.0,26.0,4
0,0,5,12.0,26.0,5
0,0,6,13.0,26.0,6
0,0,7,14.0,26.0,7
0,0,8,14.0,25.0,8
0,0,9,15.0,25.0,9
0,0,10,16.0,25.0,10
0,0,11,16.0,24.0,11
0,0,12,16.0,23.0,12
0,0,13,17.0,23.0,13
0,0,14,18.0,23.0,14
0,0,15,19.0,23.0,15
0,0,16,19.0,22.0,16
0,0,17,20.0,22.0,17
1,0,0,20.0,22.0,47
1,0,1,20.0,21.0,48
1,0,2,20.0,20.0,49
1,0,3,20.0,19.0,50
1,0,4,20.0,18.0,51
1,0,5,20.0,17.0,52
1,0,6,20.0,16.0,53
1,0,7,20.0,15.0,54
1,0,8,20.0,14.0,55
1,0,9,20.0,13.0,56
1,0,10,21.0,13.0,57
1,0,11,21.0,12.0,58
1,0,12,22.0,12.0,59
1,0,13,22.0,11.0,60
1,0,14,22.0,10.0,61
1,0,15,22.0,9.0,62
1,0,16,22.0,8.0,63
2,0,0,22.0,8.0,93
2,0,1,22.0,9.0,94
2,0,2,21.0,9.0,95
2,0,3,21.0,10.0,96
2,0,4,20.0,10.0,97
2,0,5,19.0,10.0,98
2,0,6,19.0,11.0,99
2,0,7,18.0,11.0,100
2,0,8,18.0,12.0,101
2,0,9,17.0,12.0,102
2,0,10,16.0,12.0,103
2,0,11,15.0,12.0,104
2,0,12,14.0,12.0,105
2,0,13,13.0,12.0,106
2,0,14,13.0,13.0,107
3,0,0,13.0,13.0,137
3,0,1,14.0,13.0,138
3,0,2,15.0,13.0,139
3,0,3,15.0,12.0,140
3,0,4,16.0,12.0,141
3,0,5,17.0,12.0,142
3,0,6,18.0,12.0,143
3,0,7,19.0,12.0,144
3,0,8,19.0,11.0,145
3,0,9,20.0,11.0,146
3,0,10,21.0,11.0,147
3,0,11,21.0,11.0,148
4,0,0,21.0,11.0,178
4,0,1,20.0,11.0,179
4,0,2,19.0,11.0,180
4,0,3,18.0,11.0,181
4,0,4,17.0,11.0,182
4,0,5,16.0,11.0,183
4,0,6,15.0,11.0,184
5,0,0,15.0,11.0,214
5,0,1,14.0,11.0,215
5,0,2,14.0,10.0,216
5,0,3,14.0,9.0,217
5,0,4,13.0,9.0,218
5,0,5,12.0,9.0,219
5,0,6,11.0,9.0,220
5,0,7,10.0,9.0,221
5,0,8,9.0,9.0,222
5,0,9,9.0,8.0,223
5,0,10,8.0,8.0,224
5,0,11,7.0,8.0,225
5,0,12,6.0,8.0,226
5,0,13,5.0,8.0,227
5,0,14,4.0,8.0,228
5,0,15,4.0,7.0,229
5,0,16,4.0,6.0,230
5,0,17,4.0,5.0,231
5,0,18,3.0,5.0,232
5,0,19,2.0,5.0,233
5,0,20,1.0,5.0,234
5,0,21,1.0,4.0,235
5,0,22,0.0,4.0,236
5,0,23,0.0,3.0,237
6,0,0,0.0,3.0,267
6,0,1,0.0,4.0,268
6,0,2,0.0,5.0,269
6,0,3,0.0,6.0,270
6,0,4,0.0,7.0,271
6,0,5,0.0,8.0,272
6,0,6,0.0,9.0,273
6,0,7,0.0,10.0,274
6,0,8,0.0,11.0,275
6,0,9,1.0,11.0,276
6,0,10,1.0,12.0,277
6,0,11,2.0,12.0,278
6,0,12,2.0,13.0,279
6,0,13,2.0,14.0,280
6,0,14,2.0,15.0,281
6,0,15,2.0,16.0,282
6,0,16,2.0,17.0,283
6,0,17,3.0,17.0,284
6,0,18,3.0,18.0,285
6,0,19,3.0,18.0,286
6,0,20,3.0,17.0,287
6,0,21,4.0,17.0,288
6,0,22,4.0,16.0,289
6,0,23,5.0,16.0,290
7,0,0,5.0,16.0,320
7,0,1,6.0,16.0,321
7,0,2,7.0,16.0,322
7,0,3,8.0,16.0,323
7,0,4,9.0,16.0,324
7,0,5,9.0,15.0,325
7,0,6,9.0,14.0,326
7,0,7,9.0,13.0,327
7,0,8,9.0,12.0,328
7,0,9,9.0,11.0,329
7,0,10,10.0,11.0,330
7,0,11,10.0,10.0,331
7,0,12,11.0,10.0,332
