trip_id,vehicle_id,start_parking_O,destination_I,start_time,end_time,n_trace_points
0,0,47,511,0,17,18
1,0,106,619,47,63,17
2,0,118,360,93,107,15
3,0,73,531,137,148,12
4,0,110,409,178,184,7
5,0,77,3,214,237,24
6,0,1,92,267,290,24
7,0,27,354,320,343,24
8,0,74,288,373,389,17
9,0,51,518,419,433,15
10,1,74,174,0,26,27
11,1,37,733,56,91,36
12,1,146,547,121,138,18
13,1,116,36,168,199,32
14,1,3,17,229,248,20
15,1,22,260,278,294,17
16,1,41,587,324,351,28
17,1,125,613,381,413,33
18,1,115,251,443,451,9
19,1,108,364,481,502,22
20,2,56,340,0,33,34
21,2,81,557,63,73,11
22,2,123,510,103,114,12
23,2,103,432,144,154,11
24,2,96,264,184,212,29
25,2,67,605,242,254,13
26,2,134,706,284,291,8
27,2,146,608,321,335,15
28,2,125,398,365,392,28
29,2,99,229,422,442,21
30,3,65,464,0,10,11
31,3,97,615,40,58,19
32,3,142,386,88,104,17
33,3,146,298,134,166,33
34,3,38,405,196,202,7
35,3,63,233,232,246,15
36,3,40,333,276,282,7
37,3,58,519,312,338,27
38,3,125,43,368,394,27
39,3,5,52,424,443,20
40,4,89,525,0,9,10
41,4,108,337,39,59,21
42,4,79,7,89,114,26
43,4,2,469,144,170,27
44,4,79,306,200,210,11
45,4,73,85,240,262,23
46,4,25,527,292,320,29
47,4,89,539,350,370,21
48,4,123,292,400,412,13
49,4,69,233,442,459,18
50,5,134,309,0,12,13
51,5,67,520,42,54,13
52,5,112,589,84,108,25
53,5,115,668,138,148,11
54,5,138,277,178,198,21
55,5,54,652,228,253,26
56,5,121,61,283,300,18
57,5,41,379,330,342,13
58,5,71,551,372,381,10
59,5,102,350,411,420,10
60,6,84,197,0,31,32
61,6,37,584,61,101,41
62,6,135,638,131,147,17
63,6,132,216,177,213,37
64,6,46,459,243,271,29
65,6,109,543,301,317,17
66,6,113,80,347,385,39
67,6,37,354,415,426,12
68,6,57,582,456,484,29
69,6,135,170,514,537,24
70,7,72,364,0,11,12
71,7,79,14,41,57,17
72,7,4,554,87,114,28
73,7,121,474,144,174,31
74,7,115,538,204,224,21
75,7,123,668,254,280,27
76,7,138,499,310,342,33
77,7,95,297,372,391,20
78,7,61,461,421,446,26
79,7,85,478,476,493,18
80,8,80,398,0,35,36
81,8,90,568,65,71,7
82,8,126,267,101,129,29
83,8,60,281,159,165,7
84,8,59,352,195,208,14
85,8,74,472,238,275,38
86,8,94,283,305,328,24
87,8,41,196,358,377,20
88,8,37,284,407,439,33
89,8,59,380,469,481,13
90,9,144,405,0,28,29
91,9,76,494,58,79,22
92,9,112,397,109,118,10
93,9,95,506,148,175,28
94,9,101,337,205,226,22
95,9,68,679,256,280,25
96,9,146,110,310,334,25
97,9,32,57,364,372,9
98,9,11,112,402,411,10
99,9,41,531,441,463,23
100,10,58,119,0,28,29
101,10,34,316,58,66,9
102,10,61,593,96,128,33
103,10,116,103,158,185,28
104,10,13,343,215,247,33
105,10,53,390,277,290,14
106,10,78,684,320,336,17
107,10,148,353,366,394,29
108,10,76,260,424,440,17
109,10,66,144,470,490,21
110,11,57,282,0,2,3
111,11,58,393,32,50,19
112,11,81,146,80,99,20
113,11,28,533,129,154,26
114,11,121,140,184,202,19
115,11,27,605,232,255,24
116,11,133,473,285,302,18
117,11,95,449,332,333,2
118,11,95,338,363,377,15
119,11,68,373,407,413,7
120,12,113,275,0,39,40
121,12,54,132,69,85,17
122,12,26,293,115,140,26
123,12,47,305,170,201,32
124,12,67,483,231,249,19
125,12,110,466,279,287,9
126,12,105,320,317,337,21
127,12,70,371,367,384,18
128,12,78,318,414,444,31
129,12,83,135,474,499,26
130,13,49,628,0,36,37
131,13,147,211,66,86,21
132,13,45,721,116,151,36
133,13,153,489,181,204,24
134,13,104,296,234,258,25
135,13,48,446,288,301,14
136,13,84,350,331,352,22
137,13,71,26,382,399,18
138,13,6,502,429,450,22
139,13,107,410,480,495,16
140,14,123,237,0,18,19
141,14,50,282,48,51,4
142,14,59,269,81,90,10
143,14,55,625,120,154,35
144,14,143,355,184,196,13
145,14,77,579,226,240,15
146,14,129,13,270,294,25
147,14,7,383,324,344,21
148,14,65,447,374,398,25
149,14,81,309,428,441,14
150,15,75,333,0,2,3
151,15,68,380,32,47,16
152,15,74,451,77,81,5
153,15,85,338,111,124,14
154,15,78,485,154,166,13
155,15,97,574,196,203,8
156,15,110,216,233,252,20
157,15,68,386,282,295,14
158,15,77,364,325,331,7
159,15,86,288,361,376,16
160,16,64,529,0,11,12
161,16,118,734,41,61,21
162,16,154,279,91,128,38
163,16,71,580,158,182,25
164,16,134,66,212,238,27
165,16,7,100,268,290,23
166,16,23,573,320,355,36
167,16,118,33,385,418,34
168,16,11,17,448,462,15
169,16,5,455,492,526,35
170,17,58,359,0,4,5
171,17,72,341,34,43,10
172,17,67,157,73,97,25
173,17,44,629,127,157,31
174,17,133,157,187,216,30
175,17,31,410,246,264,19
176,17,77,672,294,309,16
177,17,151,383,339,357,19
178,17,77,476,387,402,16
179,17,116,512,432,449,18
180,18,12,510,0,47,48
181,18,122,452,77,93,17
182,18,90,602,123,137,15
183,18,105,324,167,185,19
184,18,71,279,215,220,6
185,18,58,534,250,266,17
186,18,121,322,296,315,20
187,18,70,349,345,352,8
188,18,54,219,382,412,31
189,18,22,41,442,448,7
190,19,117,497,0,26,27
191,19,95,253,56,92,37
192,19,57,616,122,140,19
193,19,138,575,170,182,13
194,19,119,317,212,238,27
195,19,53,249,268,298,31
196,19,38,744,328,370,43
197,19,141,390,400,418,19
198,19,78,412,448,457,10
199,19,86,286,487,495,9
200,20,29,477,0,16,17
201,20,90,361,46,70,25
202,20,78,451,100,125,26
203,20,99,538,155,183,29
204,20,123,260,213,229,17
205,20,51,484,259,276,18
206,20,97,188,306,325,20
207,20,52,104,355,374,20
208,20,38,159,404,411,8
209,20,31,287,441,472,32
210,21,46,487,0,26,27
211,21,97,69,56,95,40
212,21,5,120,125,131,7
213,21,34,738,161,190,30
214,21,154,52,220,266,47
215,21,13,318,296,326,31
216,21,47,214,356,363,8
