trip_id,vehicle_id,start_parking_O,destination_I,ending_parking_E,success_attempt_number
0,0,47,511,106,1
1,0,106,619,118,1
2,0,118,360,73,1
3,0,73,531,110,2
4,0,110,409,77,1
5,0,77,3,1,1
6,0,1,92,27,3
7,0,27,354,74,3
8,0,74,288,51,1
9,0,51,518,106,1
10,1,74,174,37,15
11,1,37,733,146,2
12,1,146,547,116,1
13,1,116,36,3,1
14,1,3,17,22,3
15,1,22,260,41,1
16,1,41,587,125,1
17,1,125,613,115,2
18,1,115,251,108,1
19,1,108,364,67,1
20,2,56,340,81,3
21,2,81,557,123,1
22,2,123,510,103,1
23,2,103,432,96,2
24,2,96,264,67,2
25,2,67,605,134,1
26,2,134,706,146,1
27,2,146,608,125,1
28,2,125,398,99,1
29,2,99,229,44,1
30,3,65,464,97,1
31,3,97,615,142,2
32,3,142,386,146,1
33,3,146,298,38,1
34,3,38,405,63,1
35,3,63,233,40,2
36,3,40,333,58,1
37,3,58,519,125,1
38,3,125,43,5,1
39,3,5,52,0,1
40,4,89,525,108,4
41,4,108,337,79,2
42,4,79,7,2,1
43,4,2,469,79,2
44,4,79,306,73,1
45,4,73,85,25,4
46,4,25,527,89,4
47,4,89,539,123,1
48,4,123,292,69,1
49,4,69,233,40,3
50,5,134,309,67,1
51,5,67,520,112,1
52,5,112,589,115,3
53,5,115,668,138,2
54,5,138,277,54,3
55,5,54,652,121,1
56,5,121,61,41,1
57,5,41,379,71,1
58,5,71,551,102,1
59,5,102,350,71,1
60,6,84,197,37,2
61,6,37,584,135,3
62,6,135,638,132,1
63,6,132,216,46,2
64,6,46,459,109,3
65,6,109,543,113,1
66,6,113,80,37,1
67,6,37,354,57,2
68,6,57,582,135,1
69,6,135,170,22,2
70,7,72,364,79,2
71,7,79,14,4,1
72,7,4,554,121,3
73,7,121,474,115,3
74,7,115,538,123,1
75,7,123,668,138,2
76,7,138,499,95,1
77,7,95,297,61,3
78,7,61,461,85,2
79,7,85,478,96,6
80,8,80,398,90,3
81,8,90,568,126,1
82,8,126,267,60,1
83,8,60,281,59,1
84,8,59,352,74,4
85,8,74,472,94,9
86,8,94,283,41,1
87,8,41,196,37,2
88,8,37,284,59,4
89,8,59,380,70,1
90,9,144,405,76,1
91,9,76,494,112,1
