n_vehicles,total_trips,estimator,n_reps,mae_mean,mae_std,rmse_mean,rmse_std,corr_mean,corr_std
50,500,oracle_exposure,3,0.12563327641460706,0.002344017256901805,0.15852524731923728,0.003306249912465699,0.6116601203720856,0.010908271138089015
50,500,stop_confirmed,3,0.14354337883161972,0.005858202674016932,0.1758899209317524,0.005708875268461605,0.3685953944952775,0.017764163748167052
50,500,trace_exposure,3,0.23209127002523958,0.01946086867761499,0.2778003601033725,0.019921187099774255,0.36374115064036605,0.02776285564385546
100,1000,oracle_exposure,3,0.09881548882922168,0.00772672753755464,0.12901595718712258,0.00674545830766573,0.7518348782995553,0.006187415176654694
100,1000,stop_confirmed,3,0.1481522443143776,0.007893556797827156,0.1832919153361979,0.007771520211035147,0.38555473545735813,0.06245442179785068
100,1000,trace_exposure,3,0.24126559416666168,0.017431601036991592,0.28606269854102784,0.01746745710770807,0.35390683888796365,0.0563633970267125
200,2000,oracle_exposure,3,0.07869367047919118,0.007303933234252397,0.10036842971948301,0.00898419682351649,0.8441579229118402,0.02956713945509501
200,2000,stop_confirmed,3,0.12823322617037047,0.013615807677997336,0.16382518397817739,0.01421461279490396,0.5487735342482326,0.06640907257680065
200,2000,trace_exposure,3,0.24812125340852906,0.014131480976478665,0.29111169096223516,0.01538872963682912,0.39923485536823294,0.014868816274538977
500,5000,oracle_exposure,3,0.0524205443754037,0.002955830413145238,0.06636735858848593,0.003332078198211336,0.9289326377772676,0.009334572438935894
500,5000,stop_confirmed,3,0.10512032480308499,0.007673063034316034,0.13323440415062812,0.007942035088848063,0.7244672674244784,0.01137947199592672
500,5000,trace_exposure,3,0.2466260844316629,0.017387274090369543,0.2890406378925953,0.018341951229712883,0.4143769672371112,0.03594948866812711
1000,10000,oracle_exposure,3,0.035537079812431684,0.0026599564250201183,0.04572493292784999,0.003222012762537616,0.9660008594522257,0.0029093672483915664
1000,10000,stop_confirmed,3,0.07670613646079381,0.003472931034553602,0.09872791294694105,0.006771754677798556,0.8399343963257921,0.00675154240214597
1000,10000,trace_exposure,3,0.24407734633715092,0.019308529320999097,0.2882050193528803,0.020372337631159164,0.4310319879164674,0.022200463402598875
2000,20000,oracle_exposure,3,0.02531229505171366,0.002219304743310967,0.032156423011633496,0.00290088799232007,0.9825620488481731,0.0035839981139310514
2000,20000,stop_confirmed,3,0.054626351160395346,0.007208059462266579,0.07177991117142356,0.01022345617079958,0.916984105203421,0.022887215720007813
2000,20000,trace_exposure,3,0.24451829734986533,0.01686012076296643,0.2862502695573466,0.019161234107702128,0.44337258351188585,0.011464399414525239
5000,50000,oracle_exposure,3,0.01522199021008123,0.0005517275200183717,0.01909566675539028,0.0006023978323218789,0.9938243871270105,0.00010798216212275462
5000,50000,stop_confirmed,3,0.036876304096317994,0.0047363557439280566,0.048810757727718646,0.0068205387407441085,0.9599185998063208,0.007847752942612685
5000,50000,trace_exposure,3,0.2446838740082186,0.019285089289786384,0.28687226047963993,0.020441333481268444,0.4423717535622315,0.012911340248423893
